country,state,region,region_code,county_set_code,census_division,census_region,start_date,end_date,days,year,quarter,population,population_z,total_deaths,covid_deaths,total_deaths_per_day,year_zero,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,total_deaths_per_7_days,covid_deaths_per_7_days,expected_deaths_per_7_days,excess_deaths_per_7_days,non_covid_deaths_per_7_days,covid_deaths_per_100k_per_7_days,excess_deaths_per_100k_per_7_days
United States,AL,"Barbour County, AL",01005,01CS003,East South Central,South,2020-07-01,2020-09-30,92,2020,3,24589,-0.238514860345122,99,,1.07608695652174,5,64.3015279975956,34.6984720024044,,,141.113798862924,0.539621266911448,7.53260869565217,,4.89250756503444,2.64010113061773,,,10.7369194787008
United States,AL,"Barbour County, AL",01005,01CS003,East South Central,South,2020-10-01,2020-12-31,92,2020,4,24589,-0.238514860345122,106,,1.15217391304348,5,86.1337920386992,19.8662079613008,,,80.7930699145992,0.230643600973415,8.06521739130435,,6.55365808990103,1.51155930140332,,,6.14729879784994
United States,AL,"Bibb County, AL",01007,01CS004,East South Central,South,2020-01-01,2020-03-31,91,2020,1,22136,-0.245916264309006,66,0,0.725274725274725,5,96.1755651976636,-30.1755651976636,66,0,-136.318960958003,-0.313755007684599,5.07692307692308,0,7.39812039982028,-2.3211973228972,5.07692307692308,0,-10.4860739198464
United States,AL,"Bibb County, AL",01007,01CS004,East South Central,South,2020-04-01,2020-06-30,91,2020,2,22136,-0.245916264309006,55,,0.604395604395604,5,63.9676349131134,-8.96763491311341,,,-40.5115418915495,-0.140190190325061,4.23076923076923,,4.92058730100872,-0.689818070239493,,,-3.11627245319612
United States,AL,"Bibb County, AL",01007,01CS004,East South Central,South,2020-07-01,2020-09-30,92,2020,3,22136,-0.245916264309006,88,,0.956521739130435,5,54.3666990214571,33.6333009785429,,,151.939379194719,0.618637908570993,6.69565217391304,,4.13659666467608,2.55905550923696,,,11.5606049387286
United States,AL,"Bibb County, AL",01007,01CS004,East South Central,South,2020-10-01,2020-12-31,92,2020,4,22136,-0.245916264309006,88,,0.956521739130435,5,76.1989630625607,11.8010369374393,,,53.3115148962742,0.154871358652878,6.69565217391304,,5.79774718954266,0.897904984370379,,,4.05631091602087
United States,AL,"Blount County, AL",01009,01CS005,East South Central,South,2020-01-01,2020-03-31,91,2020,1,57879,-0.138069390325674,169,0,1.85714285714286,5,203.589399457436,-34.5893994574359,169,0,-59.7615706170388,-0.169897841192205,13,0,15.6607230351874,-2.66072303518738,13,0,-4.59704389361837
United States,AL,"Blount County, AL",01009,01CS005,East South Central,South,2020-04-01,2020-06-30,91,2020,2,57879,-0.138069390325674,203,,2.23076923076923,5,171.381469172886,31.6185308271143,,,54.6286750412314,0.184492121462783,15.6153846153846,,13.1831899363758,2.43219467900879,,,4.20220577240241
United States,AL,"Blount County, AL",01009,01CS005,East South Central,South,2020-07-01,2020-09-30,92,2020,3,57879,-0.138069390325674,222,,2.41304347826087,5,162.960905086282,59.0390949137182,,,102.00434512296,0.362289930105991,16.8913043478261,,12.3991993000432,4.4921050477829,,,7.76120017239915
United States,AL,"Blount County, AL",01009,01CS005,East South Central,South,2020-10-01,2020-12-31,92,2020,4,57879,-0.138069390325674,255,60,2.77173913043478,5,184.793169127385,70.2068308726145,195,103.664541543565,121.299315593937,0.37992113671809,19.4021739130435,4.56521739130435,14.0603498249098,5.34182408813371,14.8369565217391,7.88751946527125,9.22929575171256
United States,AL,"Bullock County, AL",01011,01CS003,East South Central,South,2020-01-01,2020-03-31,91,2020,1,9976,-0.282606469038249,,0,,5,63.6126450323752,,,0,,,,0,4.89328038710578,,,0,
United States,AL,"Bullock County, AL",01011,01CS003,East South Central,South,2020-04-01,2020-06-30,91,2020,2,9976,-0.282606469038249,41,,0.450549450549451,5,31.404714747825,9.59528525217504,,,96.1836933858765,0.305536456204863,3.15384615384615,,2.41574728829423,0.738098865551926,,,7.39874564506742
United States,AL,"Bullock County, AL",01011,01CS003,East South Central,South,2020-07-01,2020-09-30,92,2020,3,9976,-0.282606469038249,39,,0.423913043478261,5,21.445944568638,17.554055431362,,,175.962865190076,0.818525636638666,2.96739130434783,,1.63175665196159,1.33563465238624,,,13.388478873158
United States,AL,"Bullock County, AL",01011,01CS003,East South Central,South,2020-10-01,2020-12-31,92,2020,4,9976,-0.282606469038249,45,,0.489130434782609,5,43.2782086097417,1.72179139025835,,,17.2593363097268,0.0397842573796083,3.42391304347826,,3.29290717682817,0.131005866650092,,,1.31321037139226
United States,AL,"Butler County, AL",01013,01CS006,East South Central,South,2020-01-01,2020-03-31,91,2020,1,19504,-0.253857762569481,83,0,0.912087912087912,5,96.949548346727,-13.949548346727,83,0,-71.5214742961801,-0.143884614055532,6.38461538461538,0,7.45765756513284,-1.07304218051746,6.38461538461538,0,-5.50165186893693
United States,AL,"Butler County, AL",01013,01CS006,East South Central,South,2020-04-01,2020-06-30,91,2020,2,19504,-0.253857762569481,87,,0.956043956043956,5,64.7416180621768,22.2583819378232,,,114.12213872961,0.343803300010924,6.69230769230769,,4.98012446632129,1.7121832259864,,,8.77862605612388
United States,AL,"Butler County, AL",01013,01CS006,East South Central,South,2020-07-01,2020-09-30,92,2020,3,19504,-0.253857762569481,78,,0.847826086956522,5,55.1491874798508,22.8508125201492,,,117.159621206671,0.41434540678406,5.93478260869565,,4.19613382998865,1.738648778707,,,8.91431900485542
United States,AL,"Butler County, AL",01013,01CS006,East South Central,South,2020-10-01,2020-12-31,92,2020,4,19504,-0.253857762569481,64,,0.695652173913044,5,76.9814515209545,-12.9814515209545,,,-66.5578933601029,-0.168630900879037,4.86956521739131,,5.85728435485523,-0.987719137463927,,,-5.0641875382687
United States,AL,"Calhoun County, AL",01015,01CS007,East South Central,South,2020-01-01,2020-03-31,91,2020,1,113469,0.0296615702745409,388,0,4.26373626373626,5,399.336811634784,-11.3368116347842,388,0,-9.99110914415758,-0.0283890973846717,29.8461538461538,0,30.7182162795988,-0.872062433444936,29.8461538461538,0,-0.768546857242891
United States,AL,"Calhoun County, AL",01015,01CS007,East South Central,South,2020-04-01,2020-06-30,91,2020,2,113469,0.0296615702745409,398,,4.37362637362637,5,367.128881350234,30.871118649766,,,27.2066543723537,0.0840879598908906,30.6153846153846,,28.2406831807872,2.37470143459739,,,2.09281956710413
United States,AL,"Calhoun County, AL",01015,01CS007,East South Central,South,2020-07-01,2020-09-30,92,2020,3,113469,0.0296615702745409,509,,5.53260869565217,5,360.859387727118,148.140612272883,,,130.55602170891,0.410521708208702,38.7282608695652,,27.4566925444546,11.2715683251106,,,9.93361034741703
United States,AL,"Calhoun County, AL",01015,01CS007,East South Central,South,2020-10-01,2020-12-31,92,2020,4,113469,0.0296615702745409,489,106,5.31521739130435,5,382.691651768221,106.308348231779,383,93.4175854198063,93.689332092271,0.277791134822468,37.2065217391304,8.06521739130435,29.1178430693212,8.08867866980927,29.1413043478261,7.10785976020265,7.1285361374554
United States,AL,"Chambers County, AL",01017,01CS008,East South Central,South,2020-01-01,2020-03-31,91,2020,1,32865,-0.21354379666591,152,,1.67032967032967,5,139.248045076983,12.7519549230166,,,38.8010190872253,0.0915772635512884,11.6923076923077,,10.7113880828449,0.980919609462815,,,2.98469377594041
United States,AL,"Chambers County, AL",01017,01CS008,East South Central,South,2020-04-01,2020-06-30,91,2020,2,32865,-0.21354379666591,164,,1.8021978021978,5,107.040114792433,56.9598852075668,,,173.314727544703,0.532135875582911,12.6153846153846,,8.23385498403333,4.38152963135129,,,13.3319021188233
United States,AL,"Chambers County, AL",01017,01CS008,East South Central,South,2020-07-01,2020-09-30,92,2020,3,32865,-0.21354379666591,134,,1.45652173913043,5,97.9125028554947,36.0874971445053,,,109.80525527006,0.368568835358702,10.195652173913,,7.44986434770069,2.74578782621236,,,8.35474768359154
United States,AL,"Chambers County, AL",01017,01CS008,East South Central,South,2020-10-01,2020-12-31,92,2020,4,32865,-0.21354379666591,147,,1.59782608695652,5,119.744766896598,27.2552331034016,,,82.9308781481869,0.227611058167886,11.1847826086957,,9.11101487256727,2.07376773612839,,,6.30995811997075
United States,AL,"Cherokee County, AL",01019,01CS009,East South Central,South,2020-01-01,2020-03-31,91,2020,1,26294,-0.233370386737938,101,0,1.10989010989011,5,126.855208641197,-25.8552086411974,101,0,-98.3312110793239,-0.20381668926443,7.76923076923077,0,9.7580929723998,-1.98886220316903,7.76923076923077,0,-7.56393931379414
United States,AL,"Cherokee County, AL",01019,01CS009,East South Central,South,2020-04-01,2020-06-30,91,2020,2,26294,-0.233370386737938,124,,1.36263736263736,5,94.6472783566472,29.3527216433528,,,111.632774181763,0.310127477017846,9.53846153846154,,7.28055987358825,2.25790166487329,,,8.58713647552023
United States,AL,"Cherokee County, AL",01019,01CS009,East South Central,South,2020-07-01,2020-09-30,92,2020,3,26294,-0.233370386737938,110,,1.19565217391304,5,85.3834814039309,24.6165185960691,,,93.6202882637451,0.288305398085301,8.36956521739131,,6.49656923725561,1.8729959801357,,,7.12328280267626
United States,AL,"Cherokee County, AL",01019,01CS009,East South Central,South,2020-10-01,2020-12-31,92,2020,4,26294,-0.233370386737938,125,,1.35869565217391,5,107.215745445035,17.7842545549655,,,67.6361700576767,0.1658735336041,9.51086956521739,,8.15771976212219,1.3531498030952,,,5.1462303304754
United States,AL,"Chilton County, AL",01021,01CS004,East South Central,South,2020-01-01,2020-03-31,91,2020,1,44397,-0.178748447904592,145,0,1.59340659340659,5,157.327521568932,-12.3275215689316,145,0,-27.7665643375264,-0.0783557857264689,11.1538461538462,0,12.102117043764,-0.948270889917817,11.1538461538462,0,-2.13588956442511
United States,AL,"Chilton County, AL",01021,01CS004,East South Central,South,2020-04-01,2020-06-30,91,2020,2,44397,-0.178748447904592,144,,1.58241758241758,5,125.119591284381,18.8804087156186,,,42.5263164529553,0.150898900178676,11.0769230769231,,9.62458394495242,1.45233913197066,,,3.27125511176579
United States,AL,"Chilton County, AL",01021,01CS004,East South Central,South,2020-07-01,2020-09-30,92,2020,3,44397,-0.178748447904592,168,,1.82608695652174,5,116.190654913289,51.8093450867115,,,116.69559899703,0.445899415278932,12.7826086956522,,8.84059330861978,3.9420153870324,,,8.87901296716534
United States,AL,"Chilton County, AL",01021,01CS004,East South Central,South,2020-10-01,2020-12-31,92,2020,4,44397,-0.178748447904592,173,,1.8804347826087,5,138.022918954392,34.9770810456079,,,78.7825327062816,0.253415022016493,13.1630434782609,,10.5017438334864,2.66129964477451,,,5.99432314069534
United States,AL,"Choctaw County, AL",01023,01CS010,East South Central,South,2020-01-01,2020-03-31,91,2020,1,12418,-0.275238255226669,38,0,0.417582417582418,5,78.0265699343398,-40.0265699343398,38,0,-322.327024757125,-0.51298640921961,2.92307692307692,0,6.00204384110306,-3.07896691802614,2.92307692307692,0,-24.7943865197788
United States,AL,"Choctaw County, AL",01023,01CS010,East South Central,South,2020-04-01,2020-06-30,91,2020,2,12418,-0.275238255226669,53,,0.582417582417583,5,45.8186396497896,7.18136035021042,,,57.8302492366759,0.156734473242778,4.07692307692308,,3.52451074229151,0.552412334631571,,,4.44848071051353
United States,AL,"Choctaw County, AL",01023,01CS010,East South Central,South,2020-07-01,2020-09-30,92,2020,3,12418,-0.275238255226669,37,,0.402173913043478,5,36.0182642497451,0.981735750254892,,,7.90574770699703,0.0272566091316251,2.81521739130435,,2.74052010595887,0.0746972853454809,,,0.601524282054122
United States,AL,"Choctaw County, AL",01023,01CS010,East South Central,South,2020-10-01,2020-12-31,92,2020,4,12418,-0.275238255226669,60,,0.652173913043478,5,57.8505282908488,2.14947170915126,,,17.3093228309813,0.0371556107205209,4.56521739130435,,4.40167063082545,0.1635467604789,,,1.31701369366162
United States,AL,"Clarke County, AL",01025,01CS010,East South Central,South,2020-01-01,2020-03-31,91,2020,1,23291,-0.242431298317043,103,0,1.13186813186813,5,107.112204086156,-4.1122040861562,103,0,-17.6557643989361,-0.0383915551102704,7.92307692307692,0,8.23940031431971,-0.316323391242784,7.92307692307692,0,-1.35813572299508
United States,AL,"Clarke County, AL",01025,01CS010,East South Central,South,2020-04-01,2020-06-30,91,2020,2,23291,-0.242431298317043,101,,1.10989010989011,5,74.904273801606,26.095726198394,,,112.042102951329,0.348387680354689,7.76923076923077,,5.76186721550815,2.00736355372261,,,8.61862330394837
United States,AL,"Clarke County, AL",01025,01CS010,East South Central,South,2020-07-01,2020-09-30,92,2020,3,23291,-0.242431298317043,112,,1.21739130434783,5,65.4235207548782,46.5764792451218,,,199.976296617242,0.711922542652964,8.52173913043478,,4.97787657917551,3.54386255125927,,,15.2155877860945
United States,AL,"Clarke County, AL",01025,01CS010,East South Central,South,2020-10-01,2020-12-31,92,2020,4,23291,-0.242431298317043,120,,1.30434782608696,5,87.2557847959818,32.7442152040182,,,140.587416615938,0.375266984081107,9.1304347826087,,6.6390271040421,2.4914076785666,,,10.6968686555605
United States,AL,"Clay County, AL",01027,01CS011,East South Central,South,2020-01-01,2020-03-31,91,2020,1,13112,-0.273144258344918,59,0,0.648351648351648,5,81.4441534938372,-22.4441534938372,59,0,-171.172616640003,-0.275577221089732,4.53846153846154,0,6.26493488414133,-1.72647334567979,4.53846153846154,0,-13.1671243569233
United States,AL,"Clay County, AL",01027,01CS011,East South Central,South,2020-04-01,2020-06-30,91,2020,2,13112,-0.273144258344918,39,,0.428571428571429,5,49.236223209287,-10.236223209287,,,-78.0675961660085,-0.207900251929889,3,,3.78740178532977,-0.787401785329772,,,-6.00519970507758
United States,AL,"Clay County, AL",01027,01CS011,East South Central,South,2020-07-01,2020-09-30,92,2020,3,13112,-0.273144258344918,76,,0.826086956521739,5,39.4734036725337,36.5265963274663,,,278.573797494404,0.925347016702339,5.78260869565217,,3.00341114899713,2.77919754665504,,,21.1958324180525
United States,AL,"Clay County, AL",01027,01CS011,East South Central,South,2020-10-01,2020-12-31,92,2020,4,13112,-0.273144258344918,77,,0.836956521739131,5,61.3056677136374,15.6943322863626,,,119.694419511613,0.256001326984511,5.85869565217391,,4.66456167386371,1.1941339783102,,,9.10718409327486
United States,AL,"Cleburne County, AL",01029,01CS008,East South Central,South,2020-01-01,2020-03-31,91,2020,1,14967,-0.267547191751765,68,0,0.747252747252747,5,83.4793758593439,-15.4793758593439,68,0,-103.423370477343,-0.185427546624515,5.23076923076923,0,6.42149045071876,-1.19072121994953,5.23076923076923,0,-7.95564388287251
United States,AL,"Cleburne County, AL",01029,01CS008,East South Central,South,2020-04-01,2020-06-30,91,2020,2,14967,-0.267547191751765,47,,0.516483516483517,5,51.2714455747937,-4.2714455747937,,,-28.5390898295831,-0.0833104182436714,3.61538461538462,,3.94395735190721,-0.328572736522592,,,-2.19531460227562
United States,AL,"Cleburne County, AL",01029,01CS008,East South Central,South,2020-07-01,2020-09-30,92,2020,3,14967,-0.267547191751765,,12,,5,41.53099111898,,,80.1763880537182,,,,0.91304347826087,3.15996671557457,,,6.10037735191334,
United States,AL,"Cleburne County, AL",01029,01CS008,East South Central,South,2020-10-01,2020-12-31,92,2020,4,14967,-0.267547191751765,64,,0.695652173913044,5,63.3632551600837,0.636744839916332,,,4.25432511469454,0.010049118188572,4.86956521739131,,4.82111724044115,0.0484479769501557,,,0.323698650031107
United States,AL,"Coffee County, AL",01031,01CS012,East South Central,South,2020-01-01,2020-03-31,91,2020,1,53230,-0.152096755604148,140,0,1.53846153846154,5,169.28168320701,-29.2816832070105,140,0,-55.0097373793171,-0.17297608726635,10.7692307692308,0,13.0216679390008,-2.25243716977004,10.7692307692308,0,-4.23151825994747
United States,AL,"Coffee County, AL",01031,01CS012,East South Central,South,2020-04-01,2020-06-30,91,2020,2,53230,-0.152096755604148,177,,1.94505494505495,5,137.07375292246,39.9262470775397,,,75.0070394092423,0.291275654356127,13.6153846153846,,10.5441348401893,3.07124977519536,,,5.76977226224941
United States,AL,"Coffee County, AL",01031,01CS012,East South Central,South,2020-07-01,2020-09-30,92,2020,3,53230,-0.152096755604148,184,,2,5,128.276180964973,55.7238190350274,,,104.684987854645,0.43440503619486,14,,9.76014420385661,4.23985579614339,,,7.96516211937514
United States,AL,"Coffee County, AL",01031,01CS012,East South Central,South,2020-10-01,2020-12-31,92,2020,4,53230,-0.152096755604148,206,,2.23913043478261,5,150.108445006076,55.8915549939237,,,105.000103313777,0.372341176351945,15.6739130434783,,11.4212947287232,4.25261831475506,,,7.9891382956135
United States,AL,"Colbert County, AL",01033,01CS013,East South Central,South,2020-01-01,2020-03-31,91,2020,1,55411,-0.145516053588155,199,0,2.18681318681319,5,217.283866656542,-18.2838666565419,199,0,-32.9968177014346,-0.0841473733779001,15.3076923076923,0,16.7141435889648,-1.40645128127245,15.3076923076923,0,-2.5382167462642
United States,AL,"Colbert County, AL",01033,01CS013,East South Central,South,2020-04-01,2020-06-30,91,2020,2,55411,-0.145516053588155,175,,1.92307692307692,5,185.075936371992,-10.0759363719917,,,-18.1840002382049,-0.05444217422053,13.4615384615385,,14.2366104901532,-0.775072028614746,,,-1.39876924909268
United States,AL,"Colbert County, AL",01033,01CS013,East South Central,South,2020-07-01,2020-09-30,92,2020,3,55411,-0.145516053588155,204,,2.21739130434783,5,176.805860935928,27.1941390640725,,,49.0771490571773,0.153807905010159,15.5217391304348,,13.4526198538206,2.06911927661421,,,3.73413090652436
United States,AL,"Colbert County, AL",01033,01CS013,East South Central,South,2020-10-01,2020-12-31,92,2020,4,55411,-0.145516053588155,239,57,2.59782608695652,5,198.638124977031,40.3618750229689,182,102.867661655628,72.8409070815702,0.203192992420946,18.1847826086957,4.33695652173913,15.1137703786872,3.0710122300085,13.8478260869565,7.82688729988474,5.54224293011948
United States,AL,"Conecuh County, AL",01035,01CS014,East South Central,South,2020-01-01,2020-03-31,91,2020,1,11851,-0.276949056713633,56,0,0.615384615384615,5,78.1691435662163,-22.1691435662163,56,0,-187.065594179531,-0.283604790264038,4.30769230769231,0,6.0130110435551,-1.70531873586279,4.30769230769231,0,-14.3896610907332
United States,AL,"Conecuh County, AL",01035,01CS014,East South Central,South,2020-04-01,2020-06-30,91,2020,2,11851,-0.276949056713633,45,,0.494505494505495,5,45.9612132816661,-0.96121328166609,,,-8.11082002924724,-0.0209135750132496,3.46153846153846,,3.53547794474355,-0.0739394832050839,,,-0.623909233019018
United States,AL,"Conecuh County, AL",01035,01CS014,East South Central,South,2020-07-01,2020-09-30,92,2020,3,11851,-0.276949056713633,52,,0.565217391304348,5,36.1624046248291,15.837595375171,,,133.639316303864,0.437957473776422,3.95652173913043,,2.75148730841091,1.20503443071953,,,10.1682088492071
United States,AL,"Conecuh County, AL",01035,01CS014,East South Central,South,2020-10-01,2020-12-31,92,2020,4,11851,-0.276949056713633,66,,0.717391304347826,5,57.9946686659327,8.00533133406732,,,67.5498382758191,0.138035642210158,5.02173913043478,,4.41263783327749,0.609101297157296,,,5.13966160794276
United States,AL,"Coosa County, AL",01037,01CS004,East South Central,South,2020-01-01,2020-03-31,91,2020,1,10650,-0.28057281788796,50,0,0.54945054945055,5,72.3105473561916,-22.3105473561916,50,0,-209.488707569874,-0.308537940479042,3.84615384615385,0,5.56234979663013,-1.71619595047628,3.84615384615385,0,-16.1145159669134
United States,AL,"Coosa County, AL",01037,01CS004,East South Central,South,2020-04-01,2020-06-30,91,2020,2,10650,-0.28057281788796,28,,0.307692307692308,5,40.1026170716414,-12.1026170716414,,,-113.639596916821,-0.301791203552144,2.15384615384615,,3.08481669781857,-0.930970543972418,,,-8.74150745514007
United States,AL,"Coosa County, AL",01037,01CS004,East South Central,South,2020-07-01,2020-09-30,92,2020,3,10650,-0.28057281788796,46,,0.5,5,30.2394282366723,15.7605717633277,,,147.986589327021,0.521192783143116,3.5,,2.30082606148593,1.19917393851407,,,11.2598491879255
United States,AL,"Coosa County, AL",01037,01CS004,East South Central,South,2020-10-01,2020-12-31,92,2020,4,10650,-0.28057281788796,51,,0.554347826086957,5,52.0716922777759,-1.07169227777589,,,-10.0628382889755,-0.020581091777447,3.8804347826087,,3.96197658635251,-0.0815418037438176,,,-0.765650739378569
United States,AL,"Covington County, AL",01039,01CS015,East South Central,South,2020-01-01,2020-03-31,91,2020,1,36930,-0.201278526746143,141,0,1.54945054945055,5,167.318500887809,-26.3185008878089,141,0,-71.265910879526,-0.15729582053485,10.8461538461538,0,12.8706539144468,-2.024500068293,10.8461538461538,0,-5.48199314457892
United States,AL,"Covington County, AL",01039,01CS015,East South Central,South,2020-04-01,2020-06-30,91,2020,2,36930,-0.201278526746143,159,,1.74725274725275,5,135.110570603259,23.8894293967413,,,64.6884088728439,0.17681391833427,12.2307692307692,,10.3931208156353,1.83764841513394,,,4.97603145175723
United States,AL,"Covington County, AL",01039,01CS015,East South Central,South,2020-07-01,2020-09-30,92,2020,3,36930,-0.201278526746143,203,45,2.20652173913043,5,126.291425213692,76.708574786308,158,121.852152721365,207.713443775543,0.607393373354628,15.445652173913,3.42391304347826,9.60913017930265,5.83652199461039,12.0217391304348,9.27135944619079,15.8042837655304
United States,AL,"Covington County, AL",01039,01CS015,East South Central,South,2020-10-01,2020-12-31,92,2020,4,36930,-0.201278526746143,177,,1.92391304347826,5,148.123689254796,28.8763107452044,,,78.1920139323163,0.194947282845033,13.4673913043478,,11.2702807041692,2.1971106001786,,,5.94939236441537
United States,AL,"Crenshaw County, AL",01041,01CS006,East South Central,South,2020-01-01,2020-03-31,91,2020,1,13681,-0.271427422284808,64,0,0.703296703296703,5,77.5855803297819,-13.5855803297818,64,0,-99.3025387748107,-0.175104449461299,4.92307692307692,0,5.96812156382937,-1.04504464075245,4.92307692307692,0,-7.63865682883159
United States,AL,"Crenshaw County, AL",01041,01CS006,East South Central,South,2020-04-01,2020-06-30,91,2020,2,13681,-0.271427422284808,60,,0.659340659340659,5,45.3776500452317,14.6223499547683,,,106.880710143764,0.322236826724015,4.61538461538462,,3.49058846501782,1.12479615036679,,,8.22159308798183
United States,AL,"Crenshaw County, AL",01041,01CS006,East South Central,South,2020-07-01,2020-09-30,92,2020,3,13681,-0.271427422284808,73,,0.793478260869565,5,35.5724286055767,37.4275713944233,,,273.573360093731,1.05215114237536,5.55434782608696,,2.70659782868518,2.84774999740178,,,20.8153643549578
United States,AL,"Crenshaw County, AL",01041,01CS006,East South Central,South,2020-10-01,2020-12-31,92,2020,4,13681,-0.271427422284808,52,,0.565217391304348,5,57.4046926466803,-5.4046926466803,,,-39.505099383673,-0.0941507113354931,3.95652173913043,,4.36774835355176,-0.411226614421327,,,-3.00582277919251
United States,AL,"Cullman County, AL",01043,01CS016,East South Central,South,2020-01-01,2020-03-31,91,2020,1,84515,-0.0577009451638223,288,0,3.16483516483516,5,297.093214769881,-9.09321476988111,288,0,-10.7592909777922,-0.0306072785166919,22.1538461538462,0,22.8533242130678,-0.699478059221624,22.1538461538462,0,-0.82763776752248
United States,AL,"Cullman County, AL",01043,01CS016,East South Central,South,2020-04-01,2020-06-30,91,2020,2,84515,-0.0577009451638223,255,,2.8021978021978,5,264.885284485331,-9.88528448533089,,,-11.6964852219498,-0.0373191153466221,19.6153846153846,,20.3757911142562,-0.760406498871607,,,-0.899729632457678
United States,AL,"Cullman County, AL",01043,01CS016,East South Central,South,2020-07-01,2020-09-30,92,2020,3,84515,-0.0577009451638223,300,,3.26086956521739,5,257.49223485271,42.50776514729,,,50.2961192064012,0.165083677849956,22.8260869565217,,19.5918004779236,3.23428647859815,,,3.82687863526966
United States,AL,"Cullman County, AL",01043,01CS016,East South Central,South,2020-10-01,2020-12-31,92,2020,4,84515,-0.0577009451638223,416,101,4.52173913043478,5,279.324498893814,136.675501106186,315,119.505413240253,161.717447915975,0.489307245327393,31.6521739130435,7.68478260869565,21.2529510027902,10.3992229102533,23.9673913043478,9.09280318132361,12.3045884283894
United States,AL,"Dale County, AL",01045,01CS017,East South Central,South,2020-01-01,2020-03-31,91,2020,1,48959,-0.16498358655798,118,0,1.2967032967033,5,165.519243880994,-47.519243880994,118,0,-97.0592615882554,-0.287091958413969,9.07692307692308,0,12.7322495293072,-3.65532645238415,9.07692307692308,0,-7.46609704525042
